,titulo,descricao,paginas,idioma,editora,autor,genero,img_link,isbn_13,isbn_10
0,E não sobrou nenhum - Edição de luxo,"Eleito o melhor romance policial da história, E não sobrou nenhum ganha edição de luxo com capa dura

Considerado o melhor livro de suspense de todos os tempos, E não sobrou nenhum reúne pela primeira vez elementos que se tornaram clássicos das tramas policiais, seja na literatura, em seriados ou no cinema: uma ilha isolada, uma impressionante mansão, uma festa de gala e personagens que são todos suspeitos em potencial.

Lançado originalmente em 1939,",336 páginas,Português,Globo Livros,Agatha Christie,Terror,"https://m.media-amazon.com/images/I/41uKGO6+g4L._SX312_BO1,204,203,200_.jpg",978-6559870332,6559870332
1,Estado de terror,"“Reunindo uma ex-secretária de Estado e uma das autoras de mistério mais celebradas da atualidade, Estado de terror combina detalhes dos bastidores políticos com ação de tirar o fôlego, em uma trama de ameaça global à altura dos melhores suspenses.” – The Wall Street Journal",464 páginas,Português,Editora Arqueiro,Louise Penny,Terror,"https://m.media-amazon.com/images/I/51uVOFwsCML._SX343_BO1,204,203,200_.jpg",978-6555654509,6555654503
2,Histórias extraordinárias,"Histórias extraordinárias reúne dezoito contos assombrosos de Edgar Allan Poe, com seleção, apresentação e tradução do poeta José Paulo Paes. Este livro traz, entre outras obras-primas do mestre do suspense e do mistério, “A carta roubada”, “O gato preto”, “O escaravelho de ouro”, “O poço e o pêndulo”, “Assassinatos na rua Morgue” e “O homem da multidão”. O caráter macabro das histórias, dotadas de profundidade psicológica e imersas em uma atmosfera eletrizante, continua a conquistar novos leitores e a afirmar sua condição de clássico. Nas palavras de Paes, “Poe sempre consegue […] provocar-nos aquele arrepio de morte ou aquela impressão de vida que, em literatura, constituem o melhor, senão o único, passaporte para a imortalidade”.",448 páginas,Português,Companhia das Letras,Edgar Allan Poe,Terror,"https://m.media-amazon.com/images/I/51kXfAE+E+L._SX327_BO1,204,203,200_.jpg",978-8535930030,8535930035
3,Box Terríveis Mestres (3 livros + pôster + suplemento),"BOX EXCLUSIVO REUNINDO TRÊS MESTRES DA LITERATURA: EDGAR ALLAN POE, H.P. LOVECRAFT E ARTHUR CONAN DOYLE Chegou a noite. O extraordinário que arrepia. O estranho que nos arrebata. A imaginação que nos assombra. Essas são algumas das sensações que podemos sentir – e apenas tentar explicar em palavras – ao ler autores como Edgar Allan Poe, H.P. Lovecraft e Sir Arthur Conan Doyle, pela primeira vez reunidos neste box exclusivo. Aqui, você encontrará um compilado de histórias essenciais para quem sempre preferiu as sombras: 6 “Histórias primordiais” de Poe, responsável por, de certa maneira, criar os contos de terror; 6 “Histórias favoritas” de Lovecraft, eleitas pelos fãs do autor em pesquisa da comunidade The H.P. Lovecraft Archive; e 6 “Histórias de horror” de Doyle, o maior contista policial da história numa faceta desconhecida como a noite, mas essencial como nossa adoração por ela. Chegou a hora de explorar os seus instintos. Boa sorte.",676 páginas,Português,Novo Século,Edgar Allan Poe,Terror,"https://m.media-amazon.com/images/I/51wEb6ToJkL._SY423_BO1,204,203,200_.jpg",978-8542816938,8542816935
4,It: A coisa,"Nesse clássico que inspirou os filmes da Warner, um grupo de amigos conhecido como Clube dos Otários aprende o real sentido da amizade, do amor, da confiança... e do medo. O mais profundo e tenebroso medo.",1104 páginas,Português,Suma,Stephen King,Terror,"https://m.media-amazon.com/images/I/51z0s3GcvwL._SX346_BO1,204,203,200_.jpg",978-8560280940,8560280944
5,Laranja Mecânica: Edição Comemorativa de 50 anos,"Publicado pela primeira vez em 1962, e imortalizado 9 anos depois pelo filme de Stanley Kubrick, Laranja Mecânica não só está entre os clássicos eternos da ficção como representa um marco na cultura pop do século 20. Meio século depois, a perturbadora história de Alex – membro de uma gangue de adolescentes que é capturado pelo Estado e submetido a uma terapia de condicionamento social – continua fascinando, e desconcertando, leitores mundo afora. Esta edição especial de 50 anos em capa dura e impressa em duas cores (preto e laranja), inclui: * Ilustrações exclusivas de Angeli, Dave McKean e Oscar Grillo * Trechos do livro restaurados pelo editor inglês * Notas culturais do editor * Artigos e ensaios escritos pelo autor, inéditos em língua portuguesa * Uma entrevista inédita com Anthony Burgess * Reprodução de seis páginas do manuscrito original, com anotações e ilustrações do autor",352 páginas,Português,Editora Aleph,Anthony Burgess,Terror,"https://m.media-amazon.com/images/I/51w6f1tDKKL._SX665_BO1,204,203,200_.jpg",978-8576571360,8576571366
6,O cemitério,"O livro que inspirou o filme O cemitério maldito. Louis Creed, um jovem médico de Chicago, acredita que encontrou seu lugar em uma pequena cidade do Maine. A boa casa, o trabalho na universidade e a felicidade da esposa e dos filhos lhe trazem a certeza de que fez a melhor escolha. Num dos primeiros passeios pela região, conhecem um cemitério no bosque próximo à sua casa. Ali, gerações de crianças enterraram seus animais de estimação. Mas, para além dos pequenos túmulos, há um outro cemitério. Uma terra maligna que atrai pessoas com promessas sedutoras. Um universo dominado por forças estranhas capazes de tornar real o que sempre pareceu impossível. A princípio, Louis Creed se diverte com as histórias fantasmagóricas do vizinho Crandall. No entanto, quando o gato de sua filha Eillen morre atropelado e, subitamente, retorna à vida, ele percebe que há coisas que nem mesmo a sua ciência pode explicar. Que mistérios esconde o cemitério dos bichos? Terá o homem o direito de interferir no mundo dos mortos? Em busca das respostas, Louis Creed é levado por uma trama sobrenatural em que o limite entre a vida e a morte é inexistente. E, quando descobre a verdade, percebe que ela é muito pior que seus mais terríveis pesadelos. Pior que a própria morte - e infinitamente mais poderosa. A Capa Pode Variar.",424 páginas,Português,Suma,Mário Molina,Terror,"https://m.media-amazon.com/images/I/41McBAhN-VL._SX346_BO1,204,203,200_.jpg",978-8581050393,8581050395
7,Ghost Story,"Na pacata cidadezinha de Milburn, nos Estados Unidos, a Sociedade Chowder ― formada por um grupo de quatro velhos amigos ― se reúne todo mês para contar histórias em encontros regados a bebidas e charutos. Algumas são verdadeiras, outras inventadas... mas todas elas têm algo em comum: são terrivelmente assustadoras. Um passatempo simples para conferir um pouco de diversão a suas vidas monótonas. Mas uma história chega para mostrar suas garras no presente e assombrá-los. Algo que eles fizeram muito tempo atrás. Um erro grotesco. Um acidente terrível. Agora, pesadelos fazem com que eles inevitavelmente sejam atraídos pelo sobrenatural. E não demora muito para que eles percebam que ninguém pode enterrar o passado para sempre… Há quase sete anos, os fãs do terror encontraram na DarkSide® um lar. Ou, bem, uma mansão assombrada. Desde então, a Caveira republicou clássicos, revelou novos talentos e fez muita gente se revirar na cama com pesadelos. Os nomes mais assustadores da literatura entraram para a família: Clive Barker, William Hjortsberg, Stephen King, William Peter Blatty… E, agora, Peter Straub. É com o coração assombrado por fantasmas que a DarkSide® apresenta o clássico Ghost Story, uma das histórias sobrenaturais mais surpreendentes já escritas ― e uma das mais aguardadas pelos leitores que caminham de mãos dadas com a Caveira desde o início. Em Ghost Story, Straub mostra seu talento ao apresentar cada membro da Sociedade Chowder para o leitor, ao mesmo tempo em que estabelece a atmosfera da cidadezinha fictícia e os acontecimentos sobrenaturais. Uma leitura compassada, que se esgueira para os cantos mais sombrios da mente, para nunca mais sair. Straub mexe profundamente com a cabeça do leitor em um terror psicológico que aborda arrependimentos, vinganças, amizades que se desmancham e histórias mal-resolvidas ― mas também faz o sangue congelar ao colocar olhos amarelos à espreita e crianças estranhas olhando pela janela. Fantasmas são manifestações reais ou meros ecos do passado? Só lendo para descobrir. Peter Straub se tornou um dos autores de horror mais prolíficos e aclamados de todos os tempos, com inúmeros romances, contos, poemas e novelas publicadas. Entre os leitores notáveis de seu trabalho encontra-se Stephen King, também amigo pessoal e parceiro criativo em obras como O Talismã e A Casa Negra. Ghost Story chega para os leitores no timing perfeito para virar a leitura favorita de Halloween. O padrão de qualidade é o que você já conhece: uma edição de colecionador, feita de fã para fã, para assombração nenhuma colocar defeito. Preparado para encarar os fantasmas desta história?",448 páginas,Português,Darkside,Peter Straub,Terror,"https://m.media-amazon.com/images/I/515rWNDKqaL._SX336_BO1,204,203,200_.jpg",978-8594541840,8594541848
8,O vilarejo,"lustrações coloridas dão vida a romance com elementos de horror gótico e suspense.
Do criador da série original Netflix ""Bom dia, Verônica"".
Em 1589, o padre e demonologista Peter Binsfeld fez a ligação de cada um dos pecados capitais a um demônio, supostamente responsável por invocar o mal nas pessoas. É a partir daí que Raphael Montes cria sete histórias situadas em um vilarejo isolado, apresentando a lenta degradação dos moradores do lugar, e pouco a pouco o próprio vilarejo vai sendo dizimado, maculado pela neve e pela fome.
As histórias podem ser lidas em qualquer ordem, sem prejuízo de sua compreensão, mas se relacionam de maneira complexa, de modo que ao término da leitura as narrativas convergem para uma única e surpreendente conclusão.",96 páginas,Português,Suma,Raphael Montes,Terror,"https://m.media-amazon.com/images/I/41R9pm5hL-L._SX346_BO1,204,203,200_.jpg",978-8581053042,8581053041
9,"Carmilla - A vampira de Karnstein +: O Vampiro, de John William Polidori","Essa edição traz a primeira vampira da história e também a primeira história de vampiro já escrita em projeto gráfico especial, com curiosidades sobre as obras e os autores. Carmilla é uma obra precursora da temática de vampiros, considerada por muitos críticos como a melhor do século XIX, pela maneira como trabalha o suspense e o erotismo. Foi a partir dela que Drácula, de Bram Stoker, recebeu suas principais características. A vampira de Karnstein se torna o motivo dos horrores e depois do desejo profundo de Laura, uma jovem que vive somente na companhia do pai em um castelo isolado no Leste Europeu. O Vampiro, de John William Polidori, concretizou as lendas folclóricas sobre vampiro e deu a ele a cara que tem ainda hoje: um demônio aristocrata que ataca entre a alta sociedade.",176 páginas,Português,Pandorga Editora,Le Fanu J. Sheridan,Terror,"https://m.media-amazon.com/images/I/51zlE2KLvQL._SX315_BO1,204,203,200_.jpg",978-6555791044,6555791047
